DATE,CPIAUCSL_PCH
1955-01-01,0.07471
1955-04-01,-0.29862
1955-07-01,0.52415
1955-10-01,0.07449
1956-01-01,0.07443
1956-04-01,0.96690
1956-07-01,0.73665
1956-10-01,1.02377
1957-01-01,0.83243
1957-04-01,0.89734
1957-07-01,0.74707
1957-10-01,0.52966
1958-01-01,1.40499
1958-04-01,0.13855
1958-07-01,0.00000
1958-10-01,0.20754
1959-01-01,0.00000
1959-04-01,0.48326
1959-07-01,0.48093
1959-10-01,0.54701
1960-01-01,0.00000
1960-04-01,0.68004
1960-07-01,0.00000
1960-10-01,0.67545
1961-01-01,0.10064
1961-04-01,0.00000
1961-07-01,0.46917
1961-10-01,0.10007
1962-01-01,0.53316
1962-04-01,0.13258
1962-07-01,0.69513
1962-10-01,-0.13149
1963-01-01,0.42791
1963-04-01,0.32776
1963-07-01,0.35936
1963-10-01,0.52083
1964-01-01,0.19430
1964-04-01,0.22624
1964-07-01,0.22573
1964-10-01,0.54698
1965-01-01,0.19200
1965-04-01,0.95816
1965-07-01,0.03164
1965-10-01,0.72739
1966-01-01,1.03611
1966-04-01,0.62150
1966-07-01,1.14268
1966-10-01,0.51908
1967-01-01,0.24301
1967-04-01,0.90909
1967-07-01,0.90090
1967-10-01,1.19048
1968-01-01,0.88235
1968-04-01,1.16618
1968-07-01,1.15274
1968-10-01,1.42450
1969-01-01,1.40449
1969-04-01,1.38504
1969-07-01,1.36612
1969-10-01,1.61725
1970-01-01,1.59151
1970-04-01,1.30548
1970-07-01,1.03093
1970-10-01,1.53061
1971-01-01,0.50251
1971-04-01,1.25000
1971-07-01,0.74074
1971-10-01,0.73529
1972-01-01,0.72993
1972-04-01,0.72464
1972-07-01,0.95923
1972-10-01,0.95012
1973-01-01,2.11765
1973-04-01,1.84332
1973-07-01,2.26244
1973-10-01,2.43363
1974-01-01,3.23974
1974-04-01,2.51046
1974-07-01,3.26531
1974-10-01,2.56917
1975-01-01,1.73410
1975-04-01,1.32576
1975-07-01,2.05607
1975-10-01,1.83150
1976-01-01,0.71942
1976-04-01,1.25000
1976-07-01,1.58730
1976-10-01,1.38889
1977-01-01,2.05479
1977-04-01,1.51007
1977-07-01,1.32231
1977-10-01,1.63132
1978-01-01,1.76565
1978-04-01,2.52366
1978-07-01,2.30769
1978-10-01,2.10526
1979-01-01,2.94551
1979-04-01,3.29041
1979-07-01,3.04709
1979-10-01,3.36022
1980-01-01,4.16125
1980-04-01,2.99625
1980-07-01,1.69697
1980-10-01,2.97974
1981-01-01,2.54630
1981-04-01,2.14447
1981-07-01,2.87293
1981-10-01,1.07411
1982-01-01,0.63762
1982-04-01,2.42872
1982-07-01,0.72165
1982-10-01,0.00000
1983-01-01,0.40942
1983-04-01,1.32518
1983-07-01,1.00604
1983-10-01,0.99602
1984-01-01,1.47929
1984-04-01,0.77745
1984-07-01,0.96432
1984-10-01,0.76409
1985-01-01,1.23223
1985-04-01,0.65543
1985-07-01,0.55814
1985-10-01,1.29510
1986-01-01,-0.36530
1986-04-01,0.27498
1986-07-01,0.54845
1986-10-01,0.72727
1987-01-01,1.26354
1987-04-01,1.15865
1987-07-01,1.05727
1987-10-01,0.78466
1988-01-01,0.77855
1988-04-01,1.28755
1988-07-01,1.27119
1988-10-01,1.00418
1989-01-01,1.24275
1989-04-01,1.55483
1989-07-01,0.56406
1989-10-01,1.20192
1990-01-01,1.82106
1990-04-01,1.01089
1990-07-01,2.00154
1990-10-01,1.28302
1991-01-01,0.44709
1991-04-01,0.89021
1991-07-01,0.73529
1991-10-01,0.87591
1992-01-01,0.65123
1992-04-01,0.71891
1992-07-01,0.71378
1992-10-01,0.85046
1993-01-01,0.70274
1993-04-01,0.69784
1993-07-01,0.48510
1993-10-01,0.89655
1994-01-01,0.54682
1994-04-01,0.54385
1994-07-01,0.94659
1994-10-01,0.53583
1995-01-01,0.73284
1995-04-01,0.79365
1995-07-01,0.45932
1995-10-01,0.52253
1996-01-01,1.03964
1996-04-01,0.77170
1996-07-01,0.63816
1996-10-01,0.88776
1997-01-01,0.43997
1997-04-01,0.25031
1997-07-01,0.62422
1997-10-01,0.37221
1998-01-01,0.12361
1998-04-01,0.49383
1998-07-01,0.42998
1998-10-01,0.55046
1999-01-01,0.24331
1999-04-01,0.72816
1999-07-01,1.08434
1999-10-01,0.59595
2000-01-01,1.30332
2000-04-01,0.70175
2000-07-01,0.81301
2000-10-01,0.57604
2001-01-01,0.85911
2001-04-01,0.90857
2001-07-01,0.22510
2001-10-01,-0.39304
2002-01-01,0.62007
2002-04-01,0.61625
2002-07-01,0.66815
2002-10-01,0.55310
2003-01-01,1.15512
2003-04-01,-0.43502
2003-07-01,1.09230
2003-10-01,0.21610
2004-01-01,0.86253
2004-04-01,0.96205
2004-07-01,0.47644
2004-10-01,1.00105
2005-01-01,0.73031
2005-04-01,0.31072
2005-07-01,2.63294
2005-10-01,-0.35211
2006-01-01,0.80767
2006-04-01,1.05158
2006-07-01,0.49554
2006-10-01,0.14793
2007-01-01,1.07730
2007-04-01,0.94794
2007-07-01,0.63358
2007-10-01,1.38961
2008-01-01,0.94729
2008-04-01,1.88102
2008-07-01,0.65023
2008-10-01,-3.41699
2009-01-01,0.51893
2009-04-01,1.08003
2009-07-01,0.49863
2009-10-01,0.68841
2010-01-01,0.00276
2010-04-01,-0.07085
2010-07-01,0.49540
2010-10-01,1.00653
2011-01-01,1.16750
2011-04-01,0.78907
2011-07-01,0.79669
2011-10-01,0.27626
2012-01-01,0.69711
2012-04-01,-0.12369
2012-07-01,1.09004
2012-10-01,0.08917
2013-01-01,0.45887
2013-04-01,0.07017
2013-07-01,0.47280
2013-10-01,0.50312
2014-01-01,0.55769
2014-04-01,0.50969
2014-07-01,0.10370
2014-10-01,-0.51584
2015-01-01,-0.11682
2015-04-01,0.71236
2015-07-01,-0.06690
2015-10-01,0.11074
2016-01-01,0.13417
2016-04-01,0.89970
2016-07-01,0.39713
2016-10-01,0.60578
2017-01-01,0.51723
2017-04-01,0.11111
2017-07-01,0.93053
2017-10-01,0.55593
2018-01-01,0.71508
2018-04-01,0.57738
2018-07-01,0.46371
2018-10-01,0.23198
2019-01-01,0.59739
2019-04-01,0.36810
2019-07-01,0.47686
2019-10-01,0.85793
2020-01-01,-0.18559
2020-04-01,-0.44393
2020-07-01,1.14667
2020-10-01,0.79015
2021-01-01,1.10876
2021-04-01,2.17206
2021-07-01,1.19078
2021-10-01,2.52695
2022-01-01,2.40200
2022-04-01,2.58839
2022-07-01,0.45594
2022-10-01,0.83384
2023-01-01,0.98122
2023-04-01,0.74865
2023-07-01,1.08058
2023-10-01,0.47317
2024-01-01,1.12975
